1;Substantive;Mr n;der Herr;This is my boss, Mr Paul Brown.;Das ist mein Chef, Herr Paul Brown.;;;;;;;;;;;;;;;;;;;;;;;;
2;Substantive;man n;der Mann;He's a good-looking man.;Er ist ein gut aussehender Mann.;A man took her bag away.;Ein Mann nahm ihre Tasche weg.;All men must die.;Alle Menschen müssen sterben.;No man can do this.;Kein Mensch kann das tun.;;;;;;;;;;;;;;;;;;
3;Substantive;Mrs n;die Frau;Is there a Mrs Bolton living in this house?;Wohnt in diesem Haus eine Frau Bolton?;Do you know a Mrs Moss?;Kennen sie eine Frau Moss?;Hello, Mrs White!;Guten Tag, Frau White!;;;;;;;;;;;;;;;;;;;;
4;Substantive;woman n;die Frau;"The novel is called ""A Woman of Thirty"".";"Der Roman heißt ""Eine Frau von dreißig Jahren"".";A young woman came in.;Eine junge Frau kam herein.;;;;;;;;;;;;;;;;;;;;;;
5;Substantive;Ms n;die Frau;Do you need any help, Ms Carlton?;Brauchen Sie Hilfe, Frau Carlton?;Ms Mary Doolittle.;Frau Mary Doolittle.;;;;;;;;;;;;;;;;;;;;;;
6;Substantive;baby n;das Baby;Peter is seven years old, Anne is still a baby.;Peter ist sieben Jahre alt, Anne ist noch ein Baby.;The baby is learning to speak.;Das Baby lernt sprechen.;;;;;;;;;;;;;;;;;;;;;;
7;Substantive;child n;das Kind;We're expecting our third child in June.;Im Juni erwarten wir unser drittes Kind.;They have two children.;Sie haben zwei Kinder.;;;;;;;;;;;;;;;;;;;;;;
8;Substantive;boy n;der Junge;There are only three boys in our class.;In unserer Klasse sind nur drei Jungen.;Roger is a clever boy.;Roger ist ein kluger Junge.;;;;;;;;;;;;;;;;;;;;;;
9;Substantive;girl n;das Mädchen;Both my girls play in the same baseball team.;Meine beiden Mädchen spielen im selben Baseballteam.;She went for a walk with the girls.;Sie ging mit den Mädchen spazieren.;;;;;;;;;;;;;;;;;;;;;;
10;Verben;call v;nennen, rufen, anrufen;His name is Robert, but we call him Rob.;Sein Name ist Robert, aber wir nennen ihn Rob.;Martin called his name but he didn't hear him.;Martin rief ihn, aber er hörte ihn nicht.;I've been trying to call you all morning.;Ich versuche schon den ganzen Morgen, Sie anzurufen.;Let's call him Billy!;Nennen wir ihn Billy!;Has anybody called?;Hat jemand angerufen?;;;;;;;;;;;;;;;;
11;Sonstige;to be called;heißen;He's called Mario.;Er heißt Mario.;The girl is called Angela.;Das Mädchen heißt Angela.;;;;;;;;;;;;;;;;;;;;;;
12;Substantive;name n;der Name;Could you spell your name, please?;Könnten Sie bitte Ihren Namen buchstabieren?;What's his name?;Wie ist sein Name?;;;;;;;;;;;;;;;;;;;;;;
13;Substantive;surname n;der Familienname;What's your mother's surname?;Wie ist der Familienname deiner Mutter?;What's your surname?;Wie ist Ihr Familienname?;;;;;;;;;;;;;;;;;;;;;;
14;Substantive;last name n;der Nachname;What's your mother's last name?;Wie ist der Nachname deiner Mutter?;;;;;;;;;;;;;;;;;;;;;;;;
15;Substantive;first name n;der Vorname;My first name is Swedish.;Mein Vorname ist schwedisch.;What's your first name?;Wie heißen Sie mit Vornamen?;;;;;;;;;;;;;;;;;;;;;;
16;Adjektive und Adverbien;single adj;ledig;I'm not single. My husband lives in Mexico.;Ich bin nicht ledig. Mein Mann lebt in Mexiko.;She's a single woman.;Sie ist ledig (= eine ledige Frau).;They had no single rooms vacant at the hotel.;Sie hatten im Hotel keine Einzelzimmer frei.;Here's a single stocking.;Hier ist ein einzelner Strumpf.;;;;;;;;;;;;;;;;;;
17;Substantive;singles n pl;die Singles;I was at a party with lots of singles.;Ich war bei einer Party mit lauter Singles.;;;;;;;;;;;;;;;;;;;;;;;;
18;Adjektive und Adverbien;married adj;verheiratet;Since when have you been married?;Seit wann sind Sie verheiratet?;She is a married woman.;Sie ist eine verheiratete Frau.;;;;;;;;;;;;;;;;;;;;;;
19;Adjektive und Adverbien;divorced adj;geschieden;James and Carol were married. Now they're divorced.;James und Carol waren verheiratet. Jetzt sind sie geschieden.;;;;;;;;;;;;;;;;;;;;;;;;
20;Adjektive und Adverbien;separated adj;getrennt;Their parents are separated and live in different flats.;Ihre Eltern sind getrennt und leben in verschiedenen Wohnungen.;;;;;;;;;;;;;;;;;;;;;;;;
21;Substantive;widower n;der Witwer;Peter's wife died young. He's been a widower most of his life.;Peters Frau starb jung. Er ist fast sein Leben lang Witwer.;;;;;;;;;;;;;;;;;;;;;;;;
22;Substantive;widow n;die Witwe;After her husband's death she founded a forum for widows.;Nach dem Tod ihres Gatten gründete sie ein Forum für Witwen.;Mr Miller left a large sum to his widow.;Herr Miller hinterließ seiner Witwe eine große Geldsumme.;;;;;;;;;;;;;;;;;;;;;;
23;Adjektive und Adverbien;widowed adj;verwitwet;He has been widowed for many years.;Er ist seit vielen Jahren verwitwet.;;;;;;;;;;;;;;;;;;;;;;;;
24;Sonstige;to come from;herkommen;Where do you come from?;Wo kommen Sie her?;;;;;;;;;;;;;;;;;;;;;;;;
25;Sonstige;to be from;kommen aus;She's from Toronto, Canada.;Sie kommt aus Toronto, Kanada.;;;;;;;;;;;;;;;;;;;;;;;;
26;Substantive;(place of) residence n;der Wohnort, der Wohnsitz;What's your permanent place of residence?;Was ist Ihr ständiger Wohnort?;;;;;;;;;;;;;;;;;;;;;;;;
27;Substantive;address n;die Adresse, die Anschrift;What's your address?;Wie ist Ihre Adresse?;;;;;;;;;;;;;;;;;;;;;;;;
28;Substantive;street n;die Straße;She lives at 735 Willard Street.;Sie wohnt in der Willard-Straße 735.;We strolled through the narrow streets of the old town.;Wir bummelten durch die schmalen Straßen der Altstadt.;Do you live in this street?;Wohnst du in dieser Straße?;;;;;;;;;;;;;;;;;;;;
29;Substantive;house number n;die Hausnummer;No, the house number is 24, not 34.;Nein, die Hausnummer ist 24, nicht 34.;;;;;;;;;;;;;;;;;;;;;;;;
30;Substantive;telephone number n;die Telefonnummer;His office has a new telephone number: it's 894-7866.;Sein Büro hat eine neue Telefonnummer: Sie lautet 894-7866.;;;;;;;;;;;;;;;;;;;;;;;;
31;Substantive;person n;die Person;Tickets for the game are $24 per person.;Die Eintrittskarten für das Spiel kosten 24 Dollar pro Person.;She is such a nice person.;Sie ist so eine nette Person.;;;;;;;;;;;;;;;;;;;;;;
32;Substantive;marital status n;der Familienstand;Why did they ask for your marital status?;Warum haben sie nach deinem Familienstand gefragt?;;;;;;;;;;;;;;;;;;;;;;;;
33;Substantive;gender n;das Geschlecht;Nobody should be discriminated against because of their gender.;Niemand sollte wegen seines Geschlechts benachteiligt werden.;;;;;;;;;;;;;;;;;;;;;;;;
34;Substantive;nationality n;die Staatsangehörigkeit, die Staatsbürgerschaft, die Nationalität;People of many different nationalities live there.;Da leben Menschen mit vielen verschiedenen Staatsangehörigkeiten.;In London you can see people of different nationalities.;In London kann man Menschen verschiedener Nationalität sehen.;In London you can see people of many different nationalities.;In London kann man Menschen vieler verschiedener Nationalitäten sehen.;;;;;;;;;;;;;;;;;;;;
35;Substantive;citizen n;der Staatsbürger, die Staatsbürgerin, der Bürger, die Bürgerin;He is an American citizen because he was born there.;Er ist amerikanischer Staatsbürger, weil er dort geboren ist.;He married and became a US citizen.;Er heiratete und wurde amerikanischer Staatsbürger.;Is he a citizen of the USA?;Ist er ein Bürger der USA?;;;;;;;;;;;;;;;;;;;;
36;Sonstige;of age;volljährig;I look younger but I am of age.;Ich sehe jünger aus, aber ich bin schon volljährig.;;;;;;;;;;;;;;;;;;;;;;;;
37;Sonstige;under age;minderjährig;They didn't let her in. She's still under age.;Sie haben sie nicht reingelassen. Sie ist noch minderjährig.;;;;;;;;;;;;;;;;;;;;;;;;
38;Substantive;nickname n;der Spitzname;My nickname is Speedy.;Mein Spitzname ist Speedy.;;;;;;;;;;;;;;;;;;;;;;;;
39;Adjektive und Adverbien;good adj;gut, lieb, brav;Greg's a really good cook.;Greg ist ein wirklich guter Koch.;Be a good boy and play outside in the garden.;Sei ein braver Junge und spiele draußen im Garten.;Mario speaks good English.;Mario spricht gutes Englisch.;He likes a good meal.;Er hat gern(e) ein gutes Essen.;;;;;;;;;;;;;;;;;;
40;Adjektive und Adverbien;kind adj;nett;It was very kind of you to help me.;Es war sehr nett von dir, mir zu helfen.;;;;;;;;;;;;;;;;;;;;;;;;
41;Adjektive und Adverbien;friendly adj;freundlich, freundschaftlich;Amanda greeted us with a friendly smile.;Amanda begrüßte uns mit einem freundlichen Lächeln.;He shouldn't get too friendly with his patients.;Er sollte nicht zu freundschaftlich mit seinen Patienten umgehen.;She's always friendly and tries to help others.;Sie ist immer freundlich und versucht anderen zu helfen.;;;;;;;;;;;;;;;;;;;;
42;Adjektive und Adverbien;unfriendly adj;unfreundlich;The receptionist was quite unfriendly.;Die Empfangsdame war ziemlich unfreundlich.;;;;;;;;;;;;;;;;;;;;;;;;
43;Substantive;patience n;die Geduld;And then he lost his patience and became angry.;Und dann hat er die Geduld verloren und wurde böse.;A teacher must have patience with the slower students.;Ein Lehrer muss mit den langsameren Schülern Geduld haben.;;;;;;;;;;;;;;;;;;;;;;
44;Adjektive und Adverbien;patient adj;geduldig;You should be more patient with your children.;Du solltest geduldiger mit deinen Kindern sein.;You have to be patient with children.;Man muss mit Kindern geduldig sein.;;;;;;;;;;;;;;;;;;;;;;
45;Adjektive und Adverbien;impatient adj;ungeduldig;I get impatient when people don't listen to me.;Ich werde ungeduldig, wenn mir Leute nicht zuhören.;;;;;;;;;;;;;;;;;;;;;;;;
46;Adjektive und Adverbien;careful adj;vorsichtig;Be careful crossing the street.;Sei vorsichtig, wenn du die Straße überquerst!;Be careful!;Sei vorsichtig!, Gib acht!;Eric is a careful worker.;Eric ist ein sorgfältiger Arbeiter.;;;;;;;;;;;;;;;;;;;;
47;Adjektive und Adverbien;carefully adv;aufmerksam;She always reads recipes carefully before starting to cook.;Sie liest Rezepte immer aufmerksam, bevor sie anfängt zu kochen.;;;;;;;;;;;;;;;;;;;;;;;;
48;Adjektive und Adverbien;careless adj;unvorsichtig;It was very careless of you to leave the bag.;Es war sehr unvorsichtig von dir, die Tasche liegen zu lassen.;A careless driver is a danger to the public.;Ein leichtsinniger Fahrer ist eine Gefahr für die Öffentlichkeit.;;;;;;;;;;;;;;;;;;;;;;
49;Adjektive und Adverbien;serious adj;ernst, ernsthaft;Mrs Rawlson doesn't laugh much. She's a serious person.;Mrs Rawlson lacht nicht viel. Sie ist ein ernsthafter Mensch.;There was a serious look on his face.;Er schaute ernst drein.;;;;;;;;;;;;;;;;;;;;;;
50;Adjektive und Adverbien;polite adj;höflich;It wasn't polite of Tony to keep us waiting so long.;Es war nicht höflich von Tony, uns so lange warten zu lassen.;"The English are very polite - they say ""please"" and ""thank you"" all the time.";"Die Engländer sind sehr höflich - sie sagen dauernd ""Bitte"" und ""Danke"".";;;;;;;;;;;;;;;;;;;;;;
51;Adjektive und Adverbien;impolite adj;unhöflich;Would it be very impolite to leave now?;Wäre es sehr unhöflich, jetzt zu gehen?;;;;;;;;;;;;;;;;;;;;;;;;
52;Adjektive und Adverbien;rough adj;grob, rau;Jodi's boyfriend can be quite rough.;Jodis Freund kann ziemlich grob sein.;Tweed is a rough woollen cloth.;Tweed ist ein grober Wollstoff.;;;;;;;;;;;;;;;;;;;;;;
53;Adjektive und Adverbien;pleasant adj;sympathisch, angenehm;Her boss seems a very pleasant woman.;Ihre Chefin scheint eine sehr sympathische Frau zu sein.;These roses have a very pleasant smell.;Diese Rosen haben einen sehr angenehmen Duft.;These flowers have a pleasant smell.;Diese Blumen haben einen angenehmen Duft.;;;;;;;;;;;;;;;;;;;;
54;Adjektive und Adverbien;unpleasant adj;unsympathisch, unangenehm;He sounded somewhat unpleasant on the phone.;Er klang etwas unsympathisch am Telefon.;There was an unpleasant smell in the room.;Ein unangenehmer Geruch war im Zimmer.;;;;;;;;;;;;;;;;;;;;;;
55;Adjektive und Adverbien;lazy adj;faul;You wouldn't believe how lazy I can be.;Du würdest nicht glauben, wie faul ich sein kann.;Don't be so lazy.;Sei nicht so faul.;;;;;;;;;;;;;;;;;;;;;;
56;Adjektive und Adverbien;cheerful adj;fröhlich, heiter;I'm always cheerful in the mornings.;Ich bin morgens immer fröhlich.;;;;;;;;;;;;;;;;;;;;;;;;
57;Adjektive und Adverbien;funny adj;lustig, komisch, witzig;My new boyfriend is so funny. He knows hundreds of jokes.;Mein neuer Freund ist so lustig. Er kennt Hunderte von Witzen.;Carrie's so funny that she makes everybody laugh.;Carrie ist so witzig, dass sie jeden zum Lachen bringt.;He's so funny that he makes everybody laugh.;Er ist so komisch, dass er alle zum Lachen bringt.;;;;;;;;;;;;;;;;;;;;
58;Adjektive und Adverbien;entertaining adj;unterhaltsam;His performance as Harry Potter was really entertaining.;Seine Darbietung als Harry Potter war wirklich unterhaltsam.;It isn't great literature but very entertaining.;Es ist keine große Literatur, aber sehr unterhaltsam.;;;;;;;;;;;;;;;;;;;;;;
59;Adjektive und Adverbien;calm adj;ruhig;Even though he hadn't passed the test, his father stayed calm.;Obwohl er den Test nicht bestanden hatte, blieb sein Vater ruhig.;;;;;;;;;;;;;;;;;;;;;;;;
60;Adjektive und Adverbien;clever adj;schlau;What a clever girl you are.;Was für ein schlaues Mädchen du doch bist.;He is a clever fellow.;Er ist ein cleverer Bursche.;;;;;;;;;;;;;;;;;;;;;;
61;Substantive;stupidity n;die Dummheit;His stupidity is incredible. He is asking if chickens lay eggs.;Seine Dummheit ist unglaublich. Er fragt, ob Hühner Eier legen.;;;;;;;;;;;;;;;;;;;;;;;;
62;Adjektive und Adverbien;stupid adj;dumm;There are no stupid questions, only stupid answers.;Es gibt keine dummen Fragen, sondern nur dumme Antworten.;How stupid can you be!;Wie kann man (nur) so dumm sein!;;;;;;;;;;;;;;;;;;;;;;
63;Substantive;courage n;der Mut;Don't lose courage!;Verlier den Mut nicht!;Don't you have the courage to tell him the truth?;Hast du nicht den Mut, ihm die Wahrheit zu sagen?;;;;;;;;;;;;;;;;;;;;;;
64;Adjektive und Adverbien;brave adj;mutig;It was brave of Kyle to jump into the water to save her.;Es war mutig von Kyle, ins Wasser zu springen, um sie zu retten.;Be brave - it'll only hurt for a moment.;Sei tapfer - es wird nur einen Augenblick wehtun.;;;;;;;;;;;;;;;;;;;;;;
65;Adjektive und Adverbien;cowardly adj;feige;That was a cowardly lie.;Das war eine feige Lüge.;;;;;;;;;;;;;;;;;;;;;;;;
66;Sonstige;to be used to;gewöhnt sein an;I'm used to getting up early.;Ich bin daran gewöhnt, früh aufzustehen.;He is not used to drinking.;Er ist das Trinken nicht gewohnt.;;;;;;;;;;;;;;;;;;;;;;
67;Substantive;personality n;die Persönlichkeit;You need a strong personality to work here.;Um hier zu arbeiten, braucht man eine starke Persönlichkeit.;;;;;;;;;;;;;;;;;;;;;;;;
